FL_DATE,OP_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_DELAY,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2018-01-01,UA,1916,IAH,SAN,1830,31.0,2002,24.0,182.0,1303.0,4.0,0.0,0.0,0.0,20.0
2018-01-01,UA,1898,PBI,EWR,952,55.0,1238,59.0,139.0,1023.0,55.0,0.0,4.0,0.0,0.0
2018-01-01,UA,1897,LAX,ORD,1410,146.0,2011,128.0,205.0,1744.0,128.0,0.0,0.0,0.0,0.0
2018-01-01,UA,1893,SFO,DEN,1702,69.0,2027,62.0,118.0,967.0,0.0,0.0,0.0,0.0,62.0
2018-01-01,UA,1892,EWR,BDL,2159,48.0,2300,40.0,28.0,116.0,40.0,0.0,0.0,0.0,0.0
2018-01-01,UA,1891,ORD,SFO,1010,319.0,1249,295.0,240.0,1846.0,0.0,0.0,0.0,0.0,295.0
2018-01-01,UA,1886,BDL,DEN,759,92.0,1027,86.0,230.0,1671.0,86.0,0.0,0.0,0.0,0.0
2018-01-01,UA,1883,ORD,SJC,1948,45.0,2232,24.0,234.0,1829.0,24.0,0.0,0.0,0.0,0.0
2018-01-01,UA,1873,BDL,IAD,1025,53.0,1149,50.0,60.0,326.0,0.0,50.0,0.0,0.0,0.0
2018-01-01,UA,1869,EWR,MCO,1518,36.0,1813,38.0,142.0,937.0,36.0,0.0,2.0,0.0,0.0
2018-01-01,UA,1867,IAH,EWR,2005,101.0,30,82.0,160.0,1400.0,82.0,0.0,0.0,0.0,0.0
2018-01-01,UA,1866,EWR,DFW,2039,47.0,2346,61.0,203.0,1372.0,47.0,0.0,14.0,0.0,0.0
2018-01-01,UA,1863,LAX,SFO,915,88.0,1100,66.0,54.0,337.0,0.0,0.0,0.0,0.0,66.0
2018-01-01,UA,1857,EWR,RSW,2047,30.0,2359,48.0,172.0,1068.0,30.0,0.0,18.0,0.0,0.0
2018-01-01,UA,1850,MCO,ORD,1050,45.0,1246,25.0,139.0,1005.0,25.0,0.0,0.0,0.0,0.0
2018-01-01,UA,1847,ORD,SFO,1536,44.0,1825,18.0,242.0,1846.0,0.0,1.0,0.0,0.0,17.0
2018-01-01,UA,1837,EWR,AUS,2033,10.0,2350,28.0,215.0,1504.0,10.0,0.0,18.0,0.0,0.0
2018-01-01,UA,1835,BNA,SFO,1821,52.0,2131,36.0,276.0,1969.0,36.0,0.0,0.0,0.0,0.0
2018-01-01,UA,1828,DEN,IAH,1403,101.0,1725,89.0,109.0,862.0,89.0,0.0,0.0,0.0,0.0
2018-01-01,UA,1826,BZN,ORD,1220,37.0,1612,30.0,144.0,1185.0,30.0,0.0,0.0,0.0,0.0
2018-01-01,UA,1824,DEN,MCI,2225,12.0,59,17.0,63.0,533.0,12.0,0.0,5.0,0.0,0.0
2018-01-01,UA,1815,IAH,SFO,1230,30.0,1455,22.0,232.0,1635.0,22.0,0.0,0.0,0.0,0.0
2018-01-01,UA,1815,LAX,IAH,600,68.0,1114,54.0,154.0,1379.0,0.0,0.0,0.0,0.0,54.0
2018-01-01,UA,1804,EWR,ROC,2159,15.0,2318,15.0,48.0,246.0,15.0,0.0,0.0,0.0,0.0
2018-01-01,UA,1799,EUG,SFO,1820,83.0,1956,84.0,69.0,451.0,4.0,0.0,1.0,0.0,79.0
2018-01-01,UA,1789,IAH,TPA,2015,74.0,2324,60.0,97.0,787.0,23.0,0.0,0.0,0.0,37.0
2018-01-01,UA,1788,MCO,IAH,1149,24.0,1328,19.0,139.0,854.0,19.0,0.0,0.0,0.0,0.0
2018-01-01,UA,1773,EWR,PWM,2145,-3.0,2303,15.0,49.0,284.0,0.0,0.0,15.0,0.0,0.0
2018-01-01,UA,1747,IAH,SLC,2134,159.0,2359,131.0,162.0,1195.0,84.0,0.0,0.0,0.0,47.0
2018-01-01,UA,1742,ORD,SFO,1915,10.0,2155,20.0,228.0,1846.0,10.0,0.0,10.0,0.0,0.0
2018-01-01,UA,1739,MCO,CLE,1205,17.0,1432,25.0,119.0,895.0,17.0,0.0,8.0,0.0,0.0
2018-01-01,UA,1716,EWR,JAX,926,192.0,1209,185.0,132.0,820.0,46.0,0.0,0.0,0.0,139.0
2018-01-01,UA,1704,MCO,ORD,1801,-2.0,2002,16.0,145.0,1005.0,0.0,0.0,16.0,0.0,0.0
2018-01-01,UA,1697,ORD,IND,1530,56.0,1736,77.0,31.0,177.0,0.0,56.0,21.0,0.0,0.0
2018-01-01,UA,1690,DEN,SFO,745,30.0,936,23.0,135.0,967.0,23.0,0.0,0.0,0.0,0.0
2018-01-01,UA,1652,EWR,BNA,2030,28.0,2205,19.0,111.0,748.0,19.0,0.0,0.0,0.0,0.0
2018-01-01,UA,1649,EWR,RSW,1129,37.0,1441,37.0,176.0,1068.0,22.0,0.0,0.0,0.0,15.0
2018-01-01,UA,1642,ORD,LGA,1700,29.0,2015,17.0,96.0,733.0,0.0,0.0,0.0,0.0,17.0
2018-01-01,UA,1638,SNA,SFO,1325,173.0,1456,151.0,57.0,372.0,4.0,0.0,0.0,0.0,147.0
2018-01-01,UA,1620,PSP,SFO,1320,41.0,1501,22.0,65.0,421.0,10.0,0.0,0.0,0.0,12.0
2018-01-01,UA,1615,IAH,ATL,1950,201.0,2251,184.0,85.0,689.0,0.0,0.0,132.0,0.0,52.0
2018-01-01,UA,1612,IAH,PHL,1822,43.0,2236,29.0,165.0,1325.0,29.0,0.0,0.0,0.0,0.0
2018-01-01,UA,1611,ORD,EWR,1430,3.0,1742,30.0,92.0,719.0,0.0,0.0,30.0,0.0,0.0
2018-01-01,UA,1601,MCO,EWR,1550,98.0,1838,62.0,112.0,937.0,0.0,0.0,5.0,0.0,57.0
2018-01-01,UA,1584,EWR,SFO,1715,47.0,2041,50.0,335.0,2565.0,47.0,0.0,3.0,0.0,0.0
2018-01-01,UA,1556,SFO,IAH,1457,49.0,2043,19.0,176.0,1635.0,14.0,0.0,0.0,0.0,5.0
2018-01-01,UA,1551,EWR,PDX,1836,69.0,2148,85.0,319.0,2434.0,69.0,0.0,16.0,0.0,0.0
2018-01-01,UA,1538,EWR,PBI,1335,-5.0,1634,24.0,162.0,1023.0,0.0,0.0,24.0,0.0,0.0
2018-01-01,UA,1536,AUS,IAH,1215,11.0,1319,21.0,35.0,140.0,11.0,0.0,10.0,0.0,0.0
2018-01-01,UA,1530,CLE,EWR,802,256.0,940,265.0,72.0,404.0,0.0,256.0,9.0,0.0,0.0
2018-01-01,UA,1527,EWR,MCO,1159,96.0,1454,106.0,149.0,937.0,96.0,0.0,10.0,0.0,0.0
2018-01-01,UA,1510,ORD,EWR,1035,114.0,1345,101.0,91.0,719.0,0.0,0.0,33.0,0.0,68.0
2018-01-01,UA,1500,SFO,PDX,1403,21.0,1556,18.0,80.0,550.0,14.0,0.0,0.0,0.0,4.0
2018-01-01,UA,1496,EWR,MIA,2105,35.0,16,48.0,156.0,1085.0,35.0,0.0,13.0,0.0,0.0
2018-01-01,UA,1485,EWR,CHS,2110,39.0,2329,42.0,96.0,628.0,39.0,0.0,3.0,0.0,0.0
